Gene,Importance
1431_at,0.075590275768728
1552299_at,0.04311452844573141
1552276_a_at,0.04131500841996462
1552277_a_at,0.03885532198706778
1552310_at,0.038786441959518435
1320_at,0.03782175286984982
1552278_a_at,0.037648823574811134
1007_s_at,0.03135577686220344
1438_at,0.03014356195430896
1552311_a_at,0.028859569296261135
1552264_a_at,0.02786183149892725
1552257_a_at,0.02620961151765812
1552303_a_at,0.02572912701236652
1552281_at,0.025171078080601848
1552274_at,0.024314283809147925
1552289_a_at,0.022156389679247778
1487_at,0.02164733023602745
1552307_a_at,0.02087245468749065
1053_at,0.020132809292517727
1552272_a_at,0.01951359098773334
